"Navigate","Go to Next Member","Ctrl+Shift+Down","Editing JavaScript Source"
"Window","Next View","Ctrl+F7","In Windows"
"File","Rename","F2","In Windows"
"Window","Previous Perspective","Ctrl+Shift+F8","In Windows"
"Run/Debug","Run JUnit Test","Alt+Shift+X, T","In Windows"
"Text Editing","Scroll Line Down","Ctrl+Down","Editing Text"
"Navigate","Show In Breadcrumb","Alt+Shift+B","Editor Breadcrumb Navigation"
"Text Editing","Next Word","Ctrl+Right","Embedded Xtext Editor context"
"Run/Debug","Debug JUnit Test","Alt+Shift+D, T","In Windows"
"Run/Debug","Run","F6","In Windows"
"Navigate","Go to Previous Member","Ctrl+Shift+Up","Editing Java Source"
"Views","JavaScript Type Hierarchy","Alt+Shift+Q, T","JavaScript View"
"Window","Toggle Split Editor (Horizontal)","Ctrl+_","In Windows"
"Edit","Select Previous C/C++ Element","Alt+Shift+Left","C/C++ Editor"
"File","New","Ctrl+N","In Windows"
"Task Repositories","Mark Task Complete","Alt+Shift+C","In Tasks Editor"
"Run/Debug","Go to Address","Ctrl+G","In Table Memory Rendering"
"Text Editing","Show Tooltip Description","F2","Embedded Xtext Editor context"
"Search","Open Search Dialog","Ctrl+H","In Windows"
"Navigate","Open External JSDoc","Shift+F2","JavaScript View"
"Window","Switch to Editor","Ctrl+Shift+E","In Windows"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging"
"Window","Quick Switch Editor","Ctrl+E","In Windows"
"C/C++ Source","Toggle Mark Occurrences","Alt+Shift+O","C/C++ Editor"
"JAutodoc","Add Javadoc","Ctrl+Alt+J","Editing Java Source"
"Text Editing","Text End","Ctrl+End","Embedded Xtext Editor context"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Embedded Xtext Editor context"
"Git","Copy Path to Clipboard","Ctrl+C","In Git Repositories View"
"Run/Debug","Run JUnit Plug-in Test","Alt+Shift+X, P","In Windows"
"Source","Remove Occurrence Annotations","Alt+Shift+U","Editing JavaScript Source"
"Source","Format","Ctrl+Q","Editing Java Source"
"Text Editing","To Lower Case","Ctrl+Shift+Y","Embedded Xtext Editor context"
"Source","Remove Block Comment","Ctrl+Shift+\","Editing JavaScript Source"
"Edit","Open Selection","F3","Editing in Structured Text Editors"
"Run/Debug","Debug Java Application","Alt+Shift+D, J","In Windows"
"Run/Debug","Toggle Breakpoint","Ctrl+Shift+B","In Windows"
"Run/Debug","Java Breakpoint Properties","Alt+Enter","In Breakpoints View"
"Source","Add Import","Ctrl+Shift+M","Editing JavaScript Source"
"Edit","Word Completion","Alt+/","Editing Text"
"Views","Show View (Task List)","Alt+Shift+Q, K","In Windows"
"Window","Previous Editor","Ctrl+Shift+F6","In Windows"
"Source","Quick Assist - Assign to local variable","Ctrl+2, L","Editing Java Source"
"Makefile Source","Open declaration","F3","Makefile Editor"
"Run/Debug","Coverage RAP JUnit Test","Alt+Shift+E, R","In Windows"
"Text Editing","Duplicate Lines","Ctrl+Alt+Up","Embedded Xtext Editor context"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Editing Text"
"Source","Show Source Quick Menu","Alt+Shift+S","JavaScript View"
"Edit","Matching Tag","Ctrl+Shift+>","Editing in Structured Text Editors"
"Source","Toggle Ant Mark Occurrences","Alt+Shift+O","Editing Ant Buildfiles"
"Navigate","Open Include Browser","Ctrl+Alt+I","In C/C++ Views"
"Task Editor","Maximize Part","Ctrl+Shift+M","In Tasks Editor"
"Focused UI","Make Landmark","Ctrl+Alt+Shift+Up","In Windows"
"Navigate","Open Plug-in Artifact","Ctrl+Shift+A","In Windows"
"Text Editing","To Upper Case","Ctrl+Shift+X","Editing Text"
"Navigate","Collapse All","Ctrl+Shift+Numpad_Divide","In Windows"
"Navigate","Previous Sub-Tab","Alt+PageUp","In Dialogs and Windows"
"JAutodoc","Add Javadoc with Dialog","Ctrl+Alt+I","Editing Java Source"
"Uncategorized","Quick Outline","Ctrl+O","Editing Xtext Source"
"Run/Debug","Debug Eclipse Application","Alt+Shift+D, E","In Windows"
"Reverse Debugging Commands","Reverse Step Into","Shift+F5","Debugging C/C++"
"Text Editing","Reset Structure","Ctrl+Shift+Numpad_Multiply","Editing Text"
"Refactor - C++","Rename - Refactoring ","Alt+Shift+R","In C/C++ Views"
"Editing","Toggle Comment","Ctrl+Shift+C","Editing Xtext Source"
"Text Editing","Select Line Start","Shift+Home","Editing Text"
"Views","Show View","Alt+Shift+Q, Q","In Windows"
"Text Editing","Text End","Ctrl+End","Editing Text"
"Window","Select Maven Profiles","Ctrl+Alt+P","In Windows"
"Run/Debug","Next Memory Monitor","Ctrl+Alt+N","In Memory View"
"WindowBuilder Pro","Switch Source/Design Views","F12","Editing Text"
"Run/Debug","Run Maven Build","Alt+Shift+X, M","In Windows"
"Window","Maximize Active View or Editor","Ctrl+M","In Windows"
"Edit","Select Enclosing Element","Alt+Shift+Up","Editing JavaScript Source"
"Focused UI","Focus on Active Task","Alt+Shift+H","In Windows"
"Edit","Toggle Insert Mode","Ctrl+Shift+Insert","Embedded Xtext Editor context"
"C/C++ Source","Forward","Alt+Right","In Macro Expansion Hover"
"Window","Next Editor","Ctrl+F6","In Windows"
"Edit","Find Previous","Ctrl+Shift+K","Editing Text"
"Source","Format","Ctrl+Shift+F","Editing Ant Buildfiles"
"Source","Show Source Quick Menu","Alt+Shift+S","In Windows"
"Run/Debug","New Rendering","Ctrl+N","In Memory View"
"Edit","Delete","Delete","In Windows"
"File","New menu","Alt+Shift+N","In Windows"
"Text Editing","Move Lines Up","Alt+Up","Embedded Xtext Editor context"
"Refactor - JavaScript","Rename - Refactoring ","Alt+Shift+R","JavaScript View"
"File","Close All","Ctrl+Shift+W","In Windows"
"Navigate","Next Page","Alt+F7","In Windows"
"Edit","Select Previous Element","Alt+Shift+Left","Editing in Structured Text Editors"
"Navigate","Open Type","Ctrl+Shift+T","Editing JavaScript Source"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Editing","Restore Last Selection","Alt+Shift+Down","Editing Xtext Source"
"Edit","Cut","Ctrl+X","In Dialogs and Windows"
"Navigate","Show In...","Alt+Shift+W","In Windows"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows"
"Views","Show View (Breakpoints)","Alt+Shift+Q, B","In Windows"
"Task Editor","Submit Task","Alt+Shift+S","In Tasks Editor"
"Makefile Source","Comment","Ctrl+/","Makefile Editor"
"Source","Toggle Mark Occurrences","Alt+Shift+O","Editing Java Source"
"Text Editing","Delete to End of Line","Ctrl+Shift+Delete","Editing Text"
"C/C++ Source","Quick Type Hierarchy","Ctrl+T","C/C++ Editor"
"Text Editing","Line End","End","Editing Text"
"Run/Debug","Use Step Filters","Shift+F5","In Windows"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing Java Source"
"Text Editing","Line Start","Home","Embedded Xtext Editor context"
"Views","Show View (Variables)","Alt+Shift+Q, V","In Windows"
"Text Editing","Toggle Overwrite","Insert","Embedded Xtext Editor context"
"Text Editing","Move Lines Down","Alt+Down","Embedded Xtext Editor context"
"Navigate","Open Include Browser","Ctrl+Alt+I","C/C++ Editor"
"Navigate","Expand All","Ctrl+Shift+Numpad_Multiply","In Windows"
"Application Category","Open CSS Scratchpad","Alt+Shift+F6","In Dialogs and Windows"
"Source","Remove Occurrence Annotations","Alt+Shift+U","Editing Java Source"
"Text Editing","Move Lines Down","Alt+Down","Editing Text"
"Edit","Find Previous","Ctrl+Shift+K","Embedded Xtext Editor context"
"Views","Show View (Problems)","Alt+Shift+Q, X","In Windows"
"Text Editing","Select Previous Word","Ctrl+Shift+Left","Editing Text"
"Run/Debug","Run Java Application","Alt+Shift+X, J","In Windows"
"Text Editing","Text Start","Ctrl+Home","Editing Text"
"Source","Add Block Comment","Ctrl+Shift+/","Editing JavaScript Source"
"Text Editing","Insert Line Above Current Line","Ctrl+Shift+Enter","Editing Text"
"Window","Show Ruler Context Menu","Ctrl+F10","Editing Text"
"Edit","Format Active Elements","Ctrl+I","Editing in Structured Text Editors"
"C/C++ Source","Sort Lines","Ctrl+Alt+S","C/C++ Editor"
"Window","Show Key Assist","Ctrl+Shift+L","In Dialogs and Windows"
"C/C++ Source","Declaration","Ctrl+G","C/C++ Editor"
"Edit","Select Next C/C++ Element","Alt+Shift+Right","C/C++ Editor"
"Navigate","Go to Previous Member","Ctrl+Shift+Up","Editing JavaScript Source"
"Edit","Toggle Insert Mode","Ctrl+Shift+Insert","Editing Text"
"Focused UI","Show Context Quick View","Ctrl+Alt+Shift+Right","In Windows"
"Navigate","Go to Matching Bracket","Ctrl+Shift+P","Editing JavaScript Source"
"Git","Commit...","Ctrl+#","In Windows"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing JavaScript Source"
"Task Repositories","Mark Task Read","Alt+Shift+R","In Tasks Editor"
"Refactor - C++","Rename - Refactoring ","Alt+Shift+R","C/C++ Editor"
"Navigate","Quick Outline","Ctrl+Shift+O","Task Markup Editor Source Context"
"Views","Show View (Type Hierarchy)","Alt+Shift+Q, T","In Windows"
"C/C++ Source","Back","Alt+Left","In Macro Expansion Hover"
"Run/Debug","Debug Java Applet","Alt+Shift+D, A","In Windows"
"C/C++ Source","Open Element","Ctrl+Shift+T","C/C++ Editor"
"Reverse Debugging Commands","Reverse Resume","Shift+F8","Debugging C/C++"
"Refactor - C++","Extract Function - Refactoring ","Alt+Shift+M","C/C++ Editor"
"File","Print","Ctrl+P","In Windows"
"Edit","Add Maven Plugin","Ctrl+Shift+P","Editing XML Source"
"Edit","Find Next","Ctrl+K","Embedded Xtext Editor context"
"C/C++ Source","Show outline","Ctrl+O","C/C++ Editor"
"Navigate","Last Edit Location","Ctrl+Q","In Windows"
"C/C++ Source","Open Declaration","F3","In C/C++ Views"
"Navigate","Go to Line","Ctrl+L","Embedded Xtext Editor context"
"C/C++ Source","References","Ctrl+Shift+G","In C/C++ Views"
"Run/Debug","Coverage JUnit Plug-in Test","Alt+Shift+E, P","In Windows"
"Source","Toggle Comment","Ctrl+Shift+C","Editing JavaScript Source"
"C/C++ Source","Open Declaration","F3","C/C++ Editor"
"Run/Debug","Debug OSGi Framework","Alt+Shift+D, O","In Windows"
"Edit","Content Assist","Ctrl+Space","In Dialogs and Windows"
"Run/Debug","Run Java Applet","Alt+Shift+X, A","In Windows"
"View","Zoom Out","Ctrl+-","In Windows"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Source","Surround With Quick Menu","Alt+Shift+Z","JavaScript View"
"C/C++ Source","Show Source Quick Menu","Alt+Shift+S","C/C++ Editor"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows"
"Window","Next Perspective","Ctrl+F8","In Windows"
"Navigate","Previous Page","Alt+Shift+F7","In Windows"
"Views","JavaScript Script Explorer","Alt+Shift+Q, P","JavaScript View"
"Navigate","Quick Outline","Ctrl+O","Editing JavaScript Source"
"Edit","Select Next Element","Alt+Shift+Right","Editing Java Source"
"Text Editing","Scroll Line Up","Ctrl+Up","Editing Text"
"Task Repositories","Mark Task Unread","Alt+Shift+U","In Tasks View"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","JavaScript View"
"Navigate","Quick Outline","Ctrl+O","WikiText Markup Source Context"
"Text Editing","Move Lines Up","Alt+Up","Editing Text"
"Refactor - JavaScript","Move - Refactoring ","Alt+Shift+V","JavaScript View"
"Run/Debug","Run to Line","Ctrl+R","Debugging"
"Text Editing","Previous Word","Ctrl+Left","Embedded Xtext Editor context"
"Run/Debug","Debug Android Application","Alt+Shift+A, D","In Windows"
"Navigate","Open Type Hierarchy","F4","C/C++ Editor"
"Task Repositories","Open Selected Task","Ctrl+Enter","In Tasks View"
"Source","Add Block Comment","Ctrl+Shift+/","Editing Java Source"
"Run/Debug","All Instances","Ctrl+Shift+N","In Windows"
"Task Repositories","Mark Task Read and Go To Next Unread Task","Alt+Shift+Down","In Tasks View"
"Navigate","Go to Next Member","Ctrl+Shift+Down","Editing Java Source"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing in Structured Text Editors"
"Manifest Editor Source","Format Source","Ctrl+Shift+F","PDE editor"
"Edit","Previous Sibling","Ctrl+Shift+Up","Editing in Structured Text Editors"
"Window","Update Project","Alt+F5","In Windows"
"Navigate","Find References","Ctrl+Shift+G","Editing Xtext Source"
"Source","Toggle Comment","Ctrl+/","Editing JavaScript Source"
"Navigate","Search Repository for Task","Ctrl+Shift+F12","In Windows"
"Git","Paste Repository Path or URI","Ctrl+V","In Git Repositories View"
"Task Repositories","Mark Task Complete","Alt+Shift+C","In Tasks View"
"Run/Debug","Inspect","Ctrl+Shift+I","In Dialogs and Windows"
"Uncategorized","Add Artifact to Target Platform","Ctrl+Alt+Shift+A","In Windows"
"Navigate","Open Remote Task","Ctrl+Alt+Shift+F12","In Windows"
"Source","Correct Indentation","Ctrl+I","Editing Java Source"
"Run/Debug","Resume","F8","Debugging"
"Text Editing","Select Line Start","Shift+Home","Embedded Xtext Editor context"
"Run/Debug","Coverage SWTBot Test","Alt+Shift+E, S","In Windows"
"Source","Toggle Comment","Ctrl+7","Editing JavaScript Source"
"Window","Activate Editor","F12","In Windows"
"Source","Remove Block Comment","Ctrl+Shift+\","Editing Java Source"
"C/C++ Source","References","Ctrl+Shift+G","C/C++ Editor"
"JavaScript Debug","Open Source","Ctrl+Shift+3","Debugging"
"Edit","Select Next Element","Alt+Shift+Right","Editing in Structured Text Editors"
"Editing","Toggle Comment","Ctrl+7","Editing Xtext Source"
"Window","Quick Access","Ctrl+3","In Windows"
"Edit","Quick Diff Toggle","Ctrl+Shift+Q","Editing Text"
"Editing","Toggle Comment","Ctrl+/","Editing Xtext Source"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","C/C++ Editor"
"Navigate","Open Type Hierarchy","F4","JavaScript View"
"Search","Find Text in Workspace","Ctrl+Alt+G","In Windows"
"Run/Debug","Add Memory Block","Ctrl+Alt+M","In Memory View"
"Window","Toggle Split Editor (Vertical)","Ctrl+{","In Windows"
"Views","JavaScript Declaration","Alt+Shift+Q, D","JavaScript View"
"Text Editing","Expand All","Ctrl+Numpad_Multiply","Editing Text"
"Run/Debug","Coverage TestNG Suite","Alt+Shift+E, G","In Windows"
"Run/Debug","Coverage Java Application","Alt+Shift+E, J","In Windows"
"Navigate","Open Type Hierarchy","F4","In C/C++ Views"
"Edit","Paste","Shift+Insert","In Dialogs and Windows"
"Source","Toggle Comment","Ctrl+Shift+C","Editing Properties Files"
"Source","Add JSDoc Comment","Alt+Shift+J","JavaScript View"
"Source","Toggle Comment","Ctrl+7","Editing Java Source"
"Navigate","Show In Breadcrumb","Alt+Shift+B","Editing Java Source"
"Search","Show Occurrences in File Quick Menu","Ctrl+Shift+U","JavaScript View"
"Run/Debug","Run Eclipse Application","Alt+Shift+X, E","In Windows"
"Edit","Toggle Block Selection","Alt+Shift+A","Embedded Xtext Editor context"
"Application Category","Open a spy ()","Alt+Shift+F9","In Dialogs and Windows"
"Views","Documentation","Alt+Shift+Q, J","JavaScript View"
"Navigate","Open Declaration","F3","Editing Xtext Source"
"WindowBuilder Pro","Empty command","Ctrl+Shift+A","WindowBuilder Java scope"
"Source","Organize Imports","Ctrl+Shift+O","JavaScript View"
"Run/Debug","Coverage Eclipse Application","Alt+Shift+E, E","In Windows"
"Navigate","Open Type in Hierarchy","Ctrl+Shift+H","In C/C++ Views"
"Source","Open External Documentation","Shift+F2","Editing Ant Buildfiles"
"Project","Rebuild Last Target","F9","In Windows"
"Edit","Copy","Ctrl+C","In Dialogs and Windows"
"File","Properties","Alt+Enter","In Windows"
"Window","Previous View","Ctrl+Shift+F7","In Windows"
"File","Refresh","F5","In Windows"
"Navigate","Quick Hierarchy","Ctrl+T","Editing JavaScript Source"
"Views","Show View (Synchronize)","Alt+Shift+Q, Y","In Windows"
"Run/Debug","Run OSGi Framework","Alt+Shift+X, O","In Windows"
"Navigate","Quick Hierarchy","Ctrl+T","Editing Java Source"
"Window","Show System Menu","Alt+-","In Windows"
"C/C++ Source","Toggle Source/Header","Ctrl+Tab","C/C++ Editor"
"Run/Debug","Step Over","F6","Debugging"
"Source","Toggle Comment","Ctrl+Shift+C","Editing Java Source"
"Project","Make Target Build","Shift+F9","In Windows"
"Refactor - JavaScript","Inline","Alt+Shift+I","JavaScript View"
"WindowBuilder Pro","Empty command","Ctrl+Alt+A","WindowBuilder Java scope"
"Navigate","Quick Outline","Ctrl+O","Editing in Structured Text Editors"
"C/C++ Source","Go to Matching Bracket","Ctrl+Shift+P","C/C++ Editor"
"File","Close All","Ctrl+Shift+F4","In Windows"
"Navigate","Go to Line","Ctrl+L","Editing Text"
"Run/Debug","Go to Program Counter","Home","In Disassembly"
"C/C++ Source","Comment/Uncomment","Ctrl+/","C/C++ Editor"
"Edit","Select Enclosing C/C++ Element","Alt+Shift+Up","C/C++ Editor"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows"
"Refactor - Java","Show Refactor Quick Menu","Alt+Shift+T","In Windows"
"Text Editing","Delete to End of Line","Ctrl+Shift+Delete","Embedded Xtext Editor context"
"C/C++ Source","Go to Next Member","Ctrl+Shift+Down","C/C++ Editor"
"Navigate","Open Task","Ctrl+F12","In Windows"
"Application Category","Open CSS Spy","Alt+Shift+F5","In Dialogs and Windows"
"Edit","Select Next Element","Alt+Shift+Right","Editing JavaScript Source"
"Source","Quick Assist - Rename in file","Ctrl+2, R","Editing Java Source"
"Editing","Select Previous Element","Alt+Shift+Left","Editing Xtext Source"
"Run/Debug","Debug JUnit Plug-in Test","Alt+Shift+D, P","In Windows"
"Text Editing","Delete Next Word","Ctrl+Delete","Editing Text"
"Edit","Incremental Find","Ctrl+J","Embedded Xtext Editor context"
"Navigate","Open Type in Hierarchy","Ctrl+Shift+H","JavaScript View"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text"
"Navigate","Go to Matching Bracket","Ctrl+Shift+P","Editing Java Source"
"Refactor - JavaScript","Show Refactor Quick Menu","Alt+Shift+T","JavaScript View"
"Text Editing","Expand","Ctrl+Numpad_Add","Editing Text"
"Run/Debug","Debug","F11","In Windows"
"Run/Debug","Coverage JUnit Test","Alt+Shift+E, T","In Windows"
"Navigate","Open Attached Javadoc","Shift+F2","In Windows"
"Edit","Select Enclosing Element","Alt+Shift+Up","Editing Java Source"
"Source","Organize Imports","Ctrl+W","In Windows"
